1,5
2,10
3,14
4,15
5,21
6,17
7,18
8,19
9,28
10,29
11,29
12,26
13,30
14,38
15,38
16,40
17,36
18,44
19,48
20,47
21,46
22,55
23,48
24,53
25,59
26,57
27,60
28,62
29,64
30,65
31,71
32,75
33,77
34,73
35,74
36,77
37,76
38,86
39,80
40,82
41,87
42,92
43,95
44,97
45,93
46,96
47,105
48,104
49,103
50,107
51,105
52,114
53,117
54,111
55,116
56,117
57,118
58,123
59,126
60,127
61,124
62,126
63,134
64,135
65,133
66,139
67,138
68,139
69,145
70,147
71,148
72,149
73,149
74,154
75,159
76,160
77,158
78,162
79,164
80,163
81,170
82,166
83,177
84,173
85,179
86,182
87,178
88,185
89,185
90,187
91,189
92,189
93,195
94,195
95,198
96,197
97,202
98,203
99,202
100,9
